"#starttime";"#endtime";"Speech";"sentimentAnnotations"
0.000;2.470;"No sirve para nada. Para empezar esta espeso.";"-1"
2.470;8.660;"Bueno, que eso igual y y te dificulta un poco / la difuminada de las / de las sombras.";"-1"
8.660;10.080;"Pero esta super naranja. ";"-1"
10.080;15.700;"Supuestamente, te lo puedes poner solo asi.   Y nada mas con eso se maquilla tu parpado, segun lo que dice el empaque. ";"-1"
15.710;20.380;"Pero es nefasto, y aparte no te dura nada o sea se te hace pliegue enseguida.";"-1"
20.380;25.770;"Yo creo que ni, ni cinco horas te dura cuando ya empieza a este / a fallarte.";"-1"
25.770;28.675;"De hecho, si si se dan cuenta ni he usado nada.";"-1"
28.675;30.870;"No tengo nada utilizado este producto. ";"-1"
30.870;34.166;"Y ahorita que lo estoy viendo / que me lo puse aqui, hasta huele mal.";"-1"
34.166;36.664;"Aqui dice que: dura dura seis b-";"0"
